               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090997,            0.027348,                   0,             0.42108,             0.54167,             0.37959,             0.13825,            0.059619,            0.012067,                   0,            0.070385,           0.0032906,           0.0032906
                   1,            0.059162,            0.020706,                   0,             0.48201,             0.65833,             0.47604,             0.18081,            0.047378,            0.007136,                   0,            0.040319,           0.0065584,           0.0065584
                   2,            0.051341,            0.016874,                   0,             0.81969,             0.64402,             0.81151,             0.41683,             0.04479,           0.0060986,                   0,            0.010187,           0.0097601,           0.0097601
                   3,            0.043454,            0.014438,                   0,             0.88356,               0.875,             0.94647,             0.52897,            0.033304,           0.0051594,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.03819,            0.011745,                   0,                0.95,             0.94998,             0.97096,              0.5138,            0.032125,           0.0042005,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.033137,             0.01034,                   0,             0.95393,             0.95833,             0.98299,             0.67261,            0.026483,           0.0036937,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.031391,           0.0093672,                   0,             0.98947,               0.975,             0.98252,             0.67857,             0.02227,           0.0035925,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.02913,           0.0091144,                   0,             0.97517,             0.98196,             0.98705,              0.7184,            0.025938,           0.0032776,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.028911,           0.0087085,                   0,             0.97657,             0.95833,             0.98481,              0.6963,            0.020675,           0.0031831,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.027494,           0.0081927,                   0,             0.98887,               0.975,             0.99226,             0.72788,            0.020878,           0.0032451,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.026518,           0.0081047,                   0,             0.97433,               0.975,             0.99161,               0.685,            0.021619,           0.0034073,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02551,           0.0077726,                   0,             0.99749,             0.96667,             0.98548,             0.72277,            0.021472,           0.0029611,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024657,           0.0075562,                   0,             0.99883,               0.975,             0.99056,             0.78218,             0.01768,           0.0028404,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023894,           0.0073592,                   0,             0.99806,               0.975,             0.99365,             0.82685,            0.017248,           0.0028087,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023307,           0.0071058,                   0,             0.98957,               0.975,             0.99284,             0.77246,            0.016905,           0.0028883,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022039,           0.0069068,                   0,             0.99917,               0.975,             0.99368,             0.83145,            0.016606,           0.0026259,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02235,           0.0068801,                   0,              0.9833,             0.98139,             0.99397,             0.77158,            0.019189,             0.00274,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02103,           0.0066336,                   0,             0.99683,             0.98333,             0.99475,             0.84284,            0.016383,           0.0027279,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020635,           0.0063208,                   0,                   1,              0.9732,             0.99475,             0.80713,            0.016233,           0.0027924,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.020527,           0.0066566,                   0,             0.99733,               0.975,             0.99378,             0.79946,            0.016657,             0.00276,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.020346,           0.0064926,                   0,             0.99028,             0.99167,             0.99492,             0.82634,            0.013962,           0.0026483,                   0,            0.008119,            0.008119,            0.008119
